Time                        Note

0.0            N/A
0.17653061224489797            F2
0.35306122448979593            F#2
0.5295918367346939            F#2
0.7061224489795919            F#2
0.8826530612244898            C#2
1.0591836734693878            G#2
1.2357142857142858            A#2
1.4122448979591837            A#2
1.5887755102040817            A#2
1.7653061224489797            G#3
1.9418367346938776            G#3
2.1183673469387756            G#3
2.2948979591836736            A#2
2.4714285714285715            F4
2.6479591836734695            F4
2.8244897959183675            F4
3.0010204081632654            F#3
3.1775510204081634            G#3
3.3540816326530614            G#3
3.5306122448979593            F4
3.7071428571428573            G#3
3.8836734693877553            C4
4.060204081632653            G#2
4.236734693877551            F#3
4.413265306122449            F#3
4.589795918367347            F3
4.766326530612245            C4
4.942857142857143            F#3
5.119387755102041            A#2
5.295918367346939            A#2
5.472448979591837            F#3
5.648979591836735            F#3
5.825510204081633            G#3
6.002040816326531            G#3
6.178571428571429            F#4
6.355102040816327            G#3
6.531632653061225            G#3
6.708163265306123            F#3
6.884693877551021            F#3
7.061224489795919            F#4
7.237755102040817            F6
7.414285714285715            D#4
7.590816326530613            G#3
7.7673469387755105            G#3
7.9438775510204085            A#2
8.120408163265306            A#2
8.296938775510204            F4
8.473469387755102            A#2
8.65            A#2
8.826530612244898            D#4
9.003061224489796            F4
9.179591836734694            F#3
9.356122448979592            F#3
9.53265306122449            C4
9.709183673469388            F#3
9.885714285714286            F#3
10.062244897959184            F#3
10.238775510204082            F#3
10.41530612244898            F3
10.591836734693878            F#3
10.768367346938776            F3
10.944897959183674            F#3
11.121428571428572            F#4
11.29795918367347            F#4
11.474489795918368            F4
11.651020408163266            D#4
11.827551020408164            D#4
12.004081632653062            C#4
12.18061224489796            B6
12.357142857142858            D#4
12.533673469387756            D#4
12.710204081632654            F#3
12.886734693877552            B2
13.06326530612245            B2
13.239795918367347            F#3
13.416326530612245            B2
13.592857142857143            B2
13.769387755102041            F#3
13.94591836734694            F#4
14.122448979591837            F#4
14.298979591836735            B2
14.475510204081633            B2
14.652040816326531            B2
14.82857142857143            G#4
15.005102040816327            F#4
15.181632653061225            F#4
15.358163265306123            D#4
15.534693877551021            D#4
15.711224489795919            D#4
15.887755102040817            B2
16.064285714285713            G#3
16.240816326530613            A3
16.41734693877551            F#3
16.59387755102041            F#3
16.770408163265305            F3
16.946938775510205            F3
17.1234693877551            F#3
17.3            F#3
17.476530612244897            C#3
17.653061224489797            A#2
17.829591836734693            A#2
18.006122448979593            A#2
18.18265306122449            A#2
18.35918367346939            F#3
18.535714285714285            B2
18.712244897959184            B2
18.88877551020408            F#3
19.06530612244898            F#3
19.241836734693877            B2
19.418367346938776            F#3
19.594897959183672            F#4
19.771428571428572            F4
19.94795918367347            F4
20.124489795918368            F#3
20.301020408163264            F#3
20.477551020408164            F#4
20.65408163265306            F#4
20.83061224489796            B2
21.007142857142856            D#4
21.183673469387756            D#4
21.360204081632652            D#4
21.536734693877552            D#4
21.713265306122448            G#3
21.889795918367348            A3
22.066326530612244            F#3
22.242857142857144            F#3
22.41938775510204            F3
22.59591836734694            F3
22.772448979591836            F4
22.948979591836736            F#3
23.125510204081632            F4
23.30204081632653            G3
23.478571428571428            G#3
23.655102040816328            G#3
23.831632653061224            G3
24.008163265306123            G#2
24.18469387755102            A#2
24.36122448979592            F4
24.537755102040816            A#3
24.714285714285715            A#2
24.89081632653061            A#2
25.06734693877551            F4
25.243877551020407            G#2
25.420408163265307            G#2
25.596938775510203            G#3
25.773469387755103            A2
25.95            G#2
26.1265306122449            G#2
26.303061224489795            G#2
26.479591836734695            G#2
26.65612244897959            G#2
26.83265306122449            C4
27.009183673469387            F#2
27.185714285714287            F#2
27.362244897959183            F#2
27.538775510204083            F#2
27.71530612244898            F#2
27.89183673469388            G#3
28.068367346938775            G#3
28.244897959183675            F#2
28.42142857142857            F#2
28.59795918367347            C#3
28.774489795918367            F#3
28.951020408163266            F#2
29.127551020408163            F#2
29.304081632653062            F#2
29.48061224489796            F#2
29.65714285714286            F#2
29.833673469387755            G#3
30.010204081632654            G#3
30.18673469387755            A#2
30.36326530612245            A#2
30.539795918367346            A#2
30.716326530612246            A#2
30.892857142857142            A#2
31.069387755102042            A#2
31.24591836734694            F3
31.422448979591838            F#3
31.598979591836734            F2
31.775510204081634            F2
31.95204081632653            F2
32.128571428571426            F#2
32.30510204081633            F#2
32.481632653061226            F#2
32.65816326530612            C#4
32.83469387755102            F#3
33.01122448979592            F#2
33.18775510204082            F#2
33.364285714285714            F#2
33.54081632653061            F#2
33.71734693877551            D#4
33.89387755102041            D#2
34.070408163265306            C#4
34.2469387755102            D#2
34.423469387755105            D#4
34.6            C#2
34.7765306122449            C#4
34.953061224489794            A2
35.1295918367347            A#2
35.30612244897959            A#2
35.48265306122449            A#2
35.659183673469386            F4
35.83571428571429            A#2
36.012244897959185            G#3
36.18877551020408            G#3
36.36530612244898            G#3
36.54183673469388            G#3
36.71836734693878            G#3
36.89489795918367            C4
37.07142857142857            G#2
37.24795918367347            G#2
37.42448979591837            G#2
37.601020408163265            A2
37.77755102040816            F#2
37.954081632653065            G2
38.13061224489796            F#2
38.30714285714286            F#2
38.48367346938775            F#3
38.660204081632656            F#3
38.83673469387755            F#3
39.01326530612245            G2
39.189795918367345            F#2
39.36632653061225            G#3
39.542857142857144            G#3
39.71938775510204            F#2
39.89591836734694            F#2
40.07244897959184            F#2
40.248979591836736            G2
40.42551020408163            F#2
40.60204081632653            A2
40.77857142857143            A2
40.95510204081633            A#2
41.131632653061224            A#2
41.30816326530612            A#2
41.484693877551024            A#2
41.66122448979592            A#2
41.837755102040816            A#2
42.01428571428571            A#2
42.190816326530616            D#4
42.36734693877551            F3
42.54387755102041            F2
42.720408163265304            F4
42.89693877551021            G2
43.073469387755104            F#2
43.25            F#2
43.426530612244896            F#2
43.60306122448979            F#2
43.779591836734696            G2
43.95612244897959            F#3
44.13265306122449            F#4
44.309183673469384            F#2
